repo,developer,commit,addition,deletion,days_since_last_commit,days_first_to_last_commit,author
clojure/clojure,Rich Hickey,0.6507879656160458,0.7586433980902206,0.7586433980902206,0.0021666125013541327,0.17707955898338423,1
clojure/clojure,Stuart Halloway,0.08918338108882522,0.08742179782680276,0.08742179782680276,0.002708265626692666,0.11532688027330606,1
clojure/clojure,Tom Faulhaber,0.08094555873925502,0.007902535396773132,0.007902535396773132,0.11786372007366483,0.051658988560484495,0
clojure/clojure,Hudson @ build.clojure.org,0.054441260744985676,0.025024695423114918,0.025024695423114918,0.002383273751489546,0.08602929758269061,0
clojure/clojure,Alex Miller,0.02972779369627507,0.03704313467237405,0.03704313467237405,0.002383273751489546,0.09089497385993064,0
clojure/clojure,Christophe Grand,0.02005730659025788,0.014487981560750741,0.014487981560750741,0.07106489004441556,0.08059423365598634,0
clojure/clojure,Andy Fingerhut,0.015401146131805158,0.01399407309845242,0.01399407309845242,0.002708265626692666,0.06340907914488328,0
clojure/clojure,Stuart Sierra,0.012893982808022923,0.01399407309845242,0.01399407309845242,0.06943993066839996,0.07847197059889228,0
clojure/clojure,Chouser,0.010744985673352435,0.00691471847217649,0.00691471847217649,0.14754631134221644,0.046223924633780215,0
clojure/clojure,Nicola Mometto,0.0071633237822349575,0.007243990780375371,0.007243990780375371,0.002708265626692666,0.017495729592629017,0
clojure/clojure,fogus,0.0071633237822349575,0.00675008231807705,0.00675008231807705,0.07247318817029574,0.061390341114964546,0
clojure/clojure,Ben Smith-Mannschott,0.0060888252148997134,0.005597629239380968,0.005597629239380968,0.1354132813346333,0.03131632072053419,0
clojure/clojure,Chas Emerick,0.0060888252148997134,0.007573263088574251,0.007573263088574251,0.1125555194453472,0.06309850406335732,0
clojure/clojure,Alexander Taggart,0.004656160458452722,0.004774448468883767,0.004774448468883767,0.14602968259126856,0.021015580516589884,0
clojure/clojure,Tassilo Horn,0.004656160458452722,0.0026341784655910436,0.0026341784655910436,0.1125555194453472,0.015994616698586882,0
composer/composer,Jordi Boggiano,0.6310722100656455,0.5951935530292128,0.5951935530292128,0.00014215449350353965,0.0789093984775362,0
composer/composer,Nils Adermann,0.10940919037199125,0.10720967045618074,0.10720967045618074,0.0007107724675176982,0.07851136872481218,0
composer/composer,Igor Wiedler,0.025601750547045953,0.029644553173118433,0.029644553173118433,0.014300742046456089,0.04711677197870541,0
composer/composer,Rob Bast,0.022100656455142233,0.03165923154410707,0.03165923154410707,0.0003127398857077872,0.012189661177172994,0
composer/composer,till,0.017067833698030634,0.012375881421787308,0.012375881421787308,0.024962329059221564,0.019553211602567292,0
composer/composer,Martin HasoÃÂ,0.01225382932166302,0.0,0.0,0.017541864498336793,0.0,0
composer/composer,Beau Simensen,0.011816192560175055,0.018995538926464238,0.018995538926464238,0.017541864498336793,0.036170953778794965,0
composer/composer,FranÃÂ§ois Pluchino,0.009409190371991246,0.0,0.0,0.017541864498336793,0.0,0
